"eventType"; "eventType_subCategory"; "description"; "creation_date"; "valid_until"; "link"; "lng"; "lat"
event; market; Kranoldplatz, Lichterfelde; 2016-01-16 07:00:00+00:00; 2016-01-16 13:00:00+00:00;;13.3272641;52.4278597;
event; market; Rathaus Lankwitz, Lankwitz; 2016-01-11 07:00:00+00:00; 2016-01-11 12:00:00+00:00;;13.3501218;52.4342356;
event; market; Rathaus Lankwitz, Lankwitz; 2016-01-15 07:00:00+00:00; 2016-01-15 12:00:00+00:00;;13.3501218;52.4342356;
event; market; Steglitzer Damm, Steglitz; 2016-01-13 07:00:00+00:00; 2016-01-13 12:00:00+00:00;;13.3482105;52.4498098;
event; market; Steglitzer Damm, Steglitz; 2016-01-16 07:00:00+00:00; 2016-01-16 12:00:00+00:00;;13.3482105;52.4498098;
event; market; Ludwig-Beck-Platz, Lichterfelde-West; 2016-01-12 07:00:00+00:00; 2016-01-12 12:00:00+00:00;;13.3120165;52.4428589;
event; market; Ludwig-Beck-Platz, Lichterfelde-West; 2016-01-15 07:00:00+00:00; 2016-01-15 12:00:00+00:00;;13.3120165;52.4428589;
event; market; Ludwig-Beck-Platz, Lichterfelde-West; 2016-01-16 07:00:00+00:00; 2016-01-16 12:00:00+00:00;;13.3120165;52.4428589;
event; market; Ferdinandmarkt am Kranoldplatz, Lichterfelde; 2016-01-13 07:00:00+00:00; 2016-01-13 13:00:00+00:00;;13.3272641;52.4278597;
event; market; Ferdinandmarkt am Kranoldplatz, Lichterfelde; 2016-01-16 07:00:00+00:00; 2016-01-16 13:00:00+00:00;;13.3272641;52.4278597;
event; market; Zeli-Eck, Steglitz; 2016-01-16 07:00:00+00:00; 2016-01-16 12:00:00+00:00;;13.3324966;52.4563661;
event; market; Wilhelmplatz, Wannsee; 2016-01-15 12:00:00+00:00; 2016-01-15 17:00:00+00:00;;13.1414978;52.4121751;
event; market; Matterhornstrasse, Schlachtensee ; 2016-01-12 07:00:00+00:00; 2016-01-12 13:00:00+00:00;;13.2171377;52.4430741;
event; market; Matterhornstrasse, Schlachtensee; 2016-01-15 07:00:00+00:00; 2016-01-15 13:00:00+00:00;;13.2171377;52.4430741;
event; market; Matterhornstrasse, Schlachtensee ; 2016-01-16 07:00:00+00:00; 2016-01-16 13:00:00+00:00;;13.2171377;52.4430741;
event; market; Kastanienhof Clayallee 347, Zehlendorf; 2016-01-16 07:30:00+00:00; 2016-01-16 13:00:00+00:00;;13.2608356;52.4363168;
event; market; Gutshof der Domaene Dahlem, Koenigin-Luise-Strasse 49, Dahlem; 2016-01-16 07:00:00+00:00; 2016-01-16 12:00:00+00:00;;13.28866;52.45842;
event; market; Gutshof der Domaene Dahlem, Koenigin-Luise-Strasse 49, Dahlem; 2016-01-13 11:00:00+00:00; 2016-01-13 16:00:00+00:00;;13.28866;52.45842;
event; market; Mexikoplatz, Zehlendorf; 2016-01-16 08:00:00+00:00; 2016-01-16 14:00:00+00:00;;13.2325883;52.4375844;
event; market; Mariendorfer Damm / Ecke Prinzenstrasse, Mariendorf; 2016-01-13 07:00:00+00:00; 2016-01-13 12:00:00+00:00;;13.386172;52.443944;
event; market; Mariendorfer Damm / Ecke Prinzenstrasse, Mariendorf; 2016-01-16 07:00:00+00:00; 2016-01-16 12:00:00+00:00;;13.386172;52.443944;
event; market; Tirschenreuther Ring zwischen Waldsassener und Wiesauer Strasse, Lankwitz; 2016-01-14 11:00:00+00:00; 2016-01-14 16:00:00+00:00;;13.3531188;52.4077021;
event; market; Winterfeldtplatz, Schoeneberg; 2016-01-13 07:00:00+00:00; 2016-01-13 13:00:00+00:00;;13.3543759;52.4965184;
event; market; Winterfeldtplatz, Schoeneberg; 2016-01-16 07:00:00+00:00; 2016-01-16 15:00:00+00:00;;13.3543759;52.4965184;
